Epoch 1: TrainLoss=0.3282, ValLoss=0.3157, MacroF1=0.5637, SampleF1=0.6860, LR=0.000200, BestF1=0.0000
Epoch 2: TrainLoss=0.2933, ValLoss=0.2827, MacroF1=0.6379, SampleF1=0.7457, LR=0.000200, BestF1=0.6860
Epoch 3: TrainLoss=0.2663, ValLoss=0.2597, MacroF1=0.7014, SampleF1=0.7721, LR=0.000200, BestF1=0.7457
Epoch 4: TrainLoss=0.2477, ValLoss=0.2389, MacroF1=0.7764, SampleF1=0.8088, LR=0.000199, BestF1=0.7721
Epoch 5: TrainLoss=0.2306, ValLoss=0.2108, MacroF1=0.8259, SampleF1=0.8528, LR=0.000199, BestF1=0.8088
Epoch 6: TrainLoss=0.2203, ValLoss=0.2107, MacroF1=0.8280, SampleF1=0.8539, LR=0.000198, BestF1=0.8528
Epoch 7: TrainLoss=0.2089, ValLoss=0.1976, MacroF1=0.8458, SampleF1=0.8710, LR=0.000198, BestF1=0.8539
Epoch 8: TrainLoss=0.2015, ValLoss=0.1868, MacroF1=0.8656, SampleF1=0.8815, LR=0.000197, BestF1=0.8710
Epoch 9: TrainLoss=0.1953, ValLoss=0.4566, MacroF1=0.3522, SampleF1=0.5567, LR=0.000196, BestF1=0.8815
Epoch 10: TrainLoss=0.1863, ValLoss=0.1908, MacroF1=0.8477, SampleF1=0.8745, LR=0.000195, BestF1=0.8815
Epoch 11: TrainLoss=0.1830, ValLoss=0.1732, MacroF1=0.8793, SampleF1=0.9016, LR=0.000194, BestF1=0.8815
Epoch 12: TrainLoss=0.1792, ValLoss=0.1686, MacroF1=0.8893, SampleF1=0.9102, LR=0.000193, BestF1=0.9016
Epoch 13: TrainLoss=0.1734, ValLoss=1.2578, MacroF1=0.3003, SampleF1=0.4655, LR=0.000192, BestF1=0.9102
Epoch 14: TrainLoss=0.1707, ValLoss=0.1663, MacroF1=0.8980, SampleF1=0.9127, LR=0.000191, BestF1=0.9102
Epoch 15: TrainLoss=0.1696, ValLoss=0.1600, MacroF1=0.8927, SampleF1=0.9142, LR=0.000189, BestF1=0.9127
Epoch 16: TrainLoss=0.1656, ValLoss=0.1612, MacroF1=0.9038, SampleF1=0.9231, LR=0.000188, BestF1=0.9142
Epoch 17: TrainLoss=0.1640, ValLoss=0.7261, MacroF1=0.3426, SampleF1=0.4685, LR=0.000186, BestF1=0.9231
Epoch 18: TrainLoss=0.1593, ValLoss=0.1551, MacroF1=0.9078, SampleF1=0.9244, LR=0.000185, BestF1=0.9231
Epoch 19: TrainLoss=0.1594, ValLoss=0.1516, MacroF1=0.9138, SampleF1=0.9323, LR=0.000183, BestF1=0.9244
Epoch 20: TrainLoss=0.1569, ValLoss=0.1584, MacroF1=0.9136, SampleF1=0.9296, LR=0.000181, BestF1=0.9323
Epoch 21: TrainLoss=0.1548, ValLoss=0.1538, MacroF1=0.9096, SampleF1=0.9278, LR=0.000179, BestF1=0.9323
Epoch 22: TrainLoss=0.1539, ValLoss=0.2024, MacroF1=0.8328, SampleF1=0.8728, LR=0.000177, BestF1=0.9323
Epoch 23: TrainLoss=0.1517, ValLoss=0.1481, MacroF1=0.9214, SampleF1=0.9383, LR=0.000175, BestF1=0.9323
Epoch 24: TrainLoss=0.1499, ValLoss=0.1477, MacroF1=0.9244, SampleF1=0.9406, LR=0.000173, BestF1=0.9383
Epoch 25: TrainLoss=0.1480, ValLoss=0.1479, MacroF1=0.9245, SampleF1=0.9389, LR=0.000171, BestF1=0.9406
Epoch 26: TrainLoss=0.1459, ValLoss=1.5789, MacroF1=0.3133, SampleF1=0.4694, LR=0.000169, BestF1=0.9406
Epoch 27: TrainLoss=0.1446, ValLoss=0.1419, MacroF1=0.9270, SampleF1=0.9425, LR=0.000166, BestF1=0.9406
Epoch 28: TrainLoss=0.1454, ValLoss=0.7747, MacroF1=0.4261, SampleF1=0.5532, LR=0.000164, BestF1=0.9425
Epoch 29: TrainLoss=0.1428, ValLoss=0.1410, MacroF1=0.9306, SampleF1=0.9477, LR=0.000161, BestF1=0.9425
Epoch 30: TrainLoss=0.1424, ValLoss=0.1396, MacroF1=0.9331, SampleF1=0.9472, LR=0.000159, BestF1=0.9477
Epoch 31: TrainLoss=0.1409, ValLoss=0.1378, MacroF1=0.9339, SampleF1=0.9478, LR=0.000156, BestF1=0.9477
Epoch 32: TrainLoss=0.1399, ValLoss=0.4464, MacroF1=0.3977, SampleF1=0.6013, LR=0.000154, BestF1=0.9478
Epoch 33: TrainLoss=0.1391, ValLoss=0.1375, MacroF1=0.9344, SampleF1=0.9486, LR=0.000151, BestF1=0.9478
Epoch 34: TrainLoss=0.1361, ValLoss=0.1335, MacroF1=0.9399, SampleF1=0.9548, LR=0.000148, BestF1=0.9486
Epoch 35: TrainLoss=0.1362, ValLoss=0.1366, MacroF1=0.9357, SampleF1=0.9498, LR=0.000146, BestF1=0.9548
Epoch 36: TrainLoss=0.1354, ValLoss=0.1316, MacroF1=0.9419, SampleF1=0.9562, LR=0.000143, BestF1=0.9548
Epoch 37: TrainLoss=0.1354, ValLoss=0.1328, MacroF1=0.9407, SampleF1=0.9549, LR=0.000140, BestF1=0.9562
Epoch 38: TrainLoss=0.1339, ValLoss=0.1313, MacroF1=0.9441, SampleF1=0.9571, LR=0.000137, BestF1=0.9562
Epoch 39: TrainLoss=0.1333, ValLoss=0.1323, MacroF1=0.9417, SampleF1=0.9561, LR=0.000134, BestF1=0.9571
Epoch 40: TrainLoss=0.1325, ValLoss=0.1289, MacroF1=0.9470, SampleF1=0.9594, LR=0.000131, BestF1=0.9571
Epoch 41: TrainLoss=0.1316, ValLoss=0.8105, MacroF1=0.4249, SampleF1=0.5549, LR=0.000128, BestF1=0.9594
Epoch 42: TrainLoss=0.1304, ValLoss=0.1305, MacroF1=0.9431, SampleF1=0.9560, LR=0.000125, BestF1=0.9594
Epoch 43: TrainLoss=0.1310, ValLoss=0.7341, MacroF1=0.2305, SampleF1=0.3483, LR=0.000122, BestF1=0.9594
Epoch 44: TrainLoss=0.1308, ValLoss=0.5870, MacroF1=0.3928, SampleF1=0.5883, LR=0.000119, BestF1=0.9594
Epoch 45: TrainLoss=0.1290, ValLoss=0.1297, MacroF1=0.9439, SampleF1=0.9564, LR=0.000116, BestF1=0.9594
Epoch 46: TrainLoss=0.1278, ValLoss=0.1260, MacroF1=0.9500, SampleF1=0.9622, LR=0.000113, BestF1=0.9594
